STATION,NAME,DATE,TMAX,TMIN
USC00190998,"BUFFUMVILLE LAKE, MA US",8/21/1959,89,63
USC00190998,"BUFFUMVILLE LAKE, MA US",8/22/1959,92,61
USC00190998,"BUFFUMVILLE LAKE, MA US",8/23/1959,82,49
USC00190998,"BUFFUMVILLE LAKE, MA US",8/24/1959,73,56
USC00190998,"BUFFUMVILLE LAKE, MA US",8/25/1959,66,56
USC00190998,"BUFFUMVILLE LAKE, MA US",8/26/1959,85,55
USC00190998,"BUFFUMVILLE LAKE, MA US",8/27/1959,88,61
USC00190998,"BUFFUMVILLE LAKE, MA US",8/28/1959,92,64
USC00190998,"BUFFUMVILLE LAKE, MA US",8/29/1959,92,68
USC00190998,"BUFFUMVILLE LAKE, MA US",8/30/1959,89,66
USC00190998,"BUFFUMVILLE LAKE, MA US",8/31/1959,74,68
USC00190998,"BUFFUMVILLE LAKE, MA US",9/1/1959,82,73
USC00190998,"BUFFUMVILLE LAKE, MA US",9/2/1959,83,72
USC00190998,"BUFFUMVILLE LAKE, MA US",9/3/1959,82,69
USC00190998,"BUFFUMVILLE LAKE, MA US",9/4/1959,84,69
USC00190998,"BUFFUMVILLE LAKE, MA US",9/5/1959,84,55
USC00190998,"BUFFUMVILLE LAKE, MA US",9/6/1959,87,57
USC00190998,"BUFFUMVILLE LAKE, MA US",9/7/1959,88,55
USC00190998,"BUFFUMVILLE LAKE, MA US",9/8/1959,84,57
USC00190998,"BUFFUMVILLE LAKE, MA US",9/9/1959,88,63
USC00190998,"BUFFUMVILLE LAKE, MA US",9/10/1959,86,60
USC00190998,"BUFFUMVILLE LAKE, MA US",9/11/1959,73,60
USC00190998,"BUFFUMVILLE LAKE, MA US",9/12/1959,69,44
USC00190998,"BUFFUMVILLE LAKE, MA US",9/13/1959,72,43
USC00190998,"BUFFUMVILLE LAKE, MA US",9/14/1959,71,39
USC00190998,"BUFFUMVILLE LAKE, MA US",9/15/1959,63,43
USC00190998,"BUFFUMVILLE LAKE, MA US",9/16/1959,58,41
USC00190998,"BUFFUMVILLE LAKE, MA US",9/17/1959,59,36
USC00190998,"BUFFUMVILLE LAKE, MA US",9/18/1959,60,34
USC00190998,"BUFFUMVILLE LAKE, MA US",9/19/1959,60,33
USC00190998,"BUFFUMVILLE LAKE, MA US",9/20/1959,65,35
USC00190998,"BUFFUMVILLE LAKE, MA US",9/21/1959,72,43
USC00190998,"BUFFUMVILLE LAKE, MA US",9/22/1959,76,51
USC00190998,"BUFFUMVILLE LAKE, MA US",9/23/1959,84,58
USC00190998,"BUFFUMVILLE LAKE, MA US",9/24/1959,86,58
USC00190998,"BUFFUMVILLE LAKE, MA US",9/25/1959,86,51
USC00190998,"BUFFUMVILLE LAKE, MA US",9/26/1959,73,41
USC00190998,"BUFFUMVILLE LAKE, MA US",9/27/1959,75,45
USC00190998,"BUFFUMVILLE LAKE, MA US",9/28/1959,67,61
USC00190998,"BUFFUMVILLE LAKE, MA US",9/29/1959,80,63
USC00190998,"BUFFUMVILLE LAKE, MA US",9/30/1959,81,68
USC00190998,"BUFFUMVILLE LAKE, MA US",10/1/1959,81,61
USC00190998,"BUFFUMVILLE LAKE, MA US",10/2/1959,74,57
USC00190998,"BUFFUMVILLE LAKE, MA US",10/3/1959,65,50
USC00190998,"BUFFUMVILLE LAKE, MA US",10/4/1959,61,50
USC00190998,"BUFFUMVILLE LAKE, MA US",10/5/1959,82,52
USC00190998,"BUFFUMVILLE LAKE, MA US",10/6/1959,78,55
USC00190998,"BUFFUMVILLE LAKE, MA US",10/7/1959,78,53
USC00190998,"BUFFUMVILLE LAKE, MA US",10/8/1959,60,53
USC00190998,"BUFFUMVILLE LAKE, MA US",10/9/1959,61,53
USC00190998,"BUFFUMVILLE LAKE, MA US",10/10/1959,76,50
USC00190998,"BUFFUMVILLE LAKE, MA US",10/11/1959,72,47
USC00190998,"BUFFUMVILLE LAKE, MA US",10/12/1959,61,41
USC00190998,"BUFFUMVILLE LAKE, MA US",10/13/1959,58,39
USC00190998,"BUFFUMVILLE LAKE, MA US",10/14/1959,56,41
USC00190998,"BUFFUMVILLE LAKE, MA US",10/15/1959,46,37
USC00190998,"BUFFUMVILLE LAKE, MA US",10/16/1959,55,28
USC00190998,"BUFFUMVILLE LAKE, MA US",10/17/1959,60,31
USC00190998,"BUFFUMVILLE LAKE, MA US",10/18/1959,68,33
USC00190998,"BUFFUMVILLE LAKE, MA US",10/19/1959,58,24
USC00190998,"BUFFUMVILLE LAKE, MA US",10/20/1959,45,27
USC00190998,"BUFFUMVILLE LAKE, MA US",10/21/1959,65,30
USC00190998,"BUFFUMVILLE LAKE, MA US",10/22/1959,50,21
USC00190998,"BUFFUMVILLE LAKE, MA US",10/23/1959,55,24
USC00190998,"BUFFUMVILLE LAKE, MA US",10/24/1959,65,49
USC00190998,"BUFFUMVILLE LAKE, MA US",10/25/1959,66,57
USC00190998,"BUFFUMVILLE LAKE, MA US",10/26/1959,66,48
USC00190998,"BUFFUMVILLE LAKE, MA US",10/27/1959,64,39
USC00190998,"BUFFUMVILLE LAKE, MA US",10/28/1959,48,30
USC00190998,"BUFFUMVILLE LAKE, MA US",10/29/1959,46,24
USC00190998,"BUFFUMVILLE LAKE, MA US",10/30/1959,50,24
USC00190998,"BUFFUMVILLE LAKE, MA US",10/31/1959,53,35
USC00190998,"BUFFUMVILLE LAKE, MA US",11/1/1959,57,43
USC00190998,"BUFFUMVILLE LAKE, MA US",11/2/1959,53,37
USC00190998,"BUFFUMVILLE LAKE, MA US",11/3/1959,51,29
USC00190998,"BUFFUMVILLE LAKE, MA US",11/4/1959,49,33
USC00190998,"BUFFUMVILLE LAKE, MA US",11/5/1959,60,41
USC00190998,"BUFFUMVILLE LAKE, MA US",11/6/1959,68,59
USC00190998,"BUFFUMVILLE LAKE, MA US",11/7/1959,71,39
USC00190998,"BUFFUMVILLE LAKE, MA US",11/8/1959,39,34
USC00190998,"BUFFUMVILLE LAKE, MA US",11/9/1959,39,35
USC00190998,"BUFFUMVILLE LAKE, MA US",11/10/1959,51,26
USC00190998,"BUFFUMVILLE LAKE, MA US",11/11/1959,51,22
USC00190998,"BUFFUMVILLE LAKE, MA US",11/12/1959,53,33
USC00190998,"BUFFUMVILLE LAKE, MA US",11/13/1959,55,27
USC00190998,"BUFFUMVILLE LAKE, MA US",11/14/1959,60,34
USC00190998,"BUFFUMVILLE LAKE, MA US",11/15/1959,68,39
USC00190998,"BUFFUMVILLE LAKE, MA US",11/16/1959,42,32
USC00190998,"BUFFUMVILLE LAKE, MA US",11/17/1959,39,33
USC00190998,"BUFFUMVILLE LAKE, MA US",11/18/1959,45,18
USC00190998,"BUFFUMVILLE LAKE, MA US",11/19/1959,31,20
USC00190998,"BUFFUMVILLE LAKE, MA US",11/20/1959,34,18
USC00190998,"BUFFUMVILLE LAKE, MA US",11/21/1959,38,22
USC00190998,"BUFFUMVILLE LAKE, MA US",11/22/1959,40,28
USC00190998,"BUFFUMVILLE LAKE, MA US",11/23/1959,47,30
USC00190998,"BUFFUMVILLE LAKE, MA US",11/24/1959,50,34
USC00190998,"BUFFUMVILLE LAKE, MA US",11/25/1959,60,42
USC00190998,"BUFFUMVILLE LAKE, MA US",11/26/1959,44,32
USC00190998,"BUFFUMVILLE LAKE, MA US",11/27/1959,42,24
USC00190998,"BUFFUMVILLE LAKE, MA US",11/28/1959,61,35
USC00190998,"BUFFUMVILLE LAKE, MA US",11/29/1959,61,31
USC00190998,"BUFFUMVILLE LAKE, MA US",11/30/1959,33,18
USC00190998,"BUFFUMVILLE LAKE, MA US",12/1/1959,34,26
USC00190998,"BUFFUMVILLE LAKE, MA US",12/2/1959,40,24
USC00190998,"BUFFUMVILLE LAKE, MA US",12/3/1959,46,24
USC00190998,"BUFFUMVILLE LAKE, MA US",12/4/1959,53,26
USC00190998,"BUFFUMVILLE LAKE, MA US",12/5/1959,52,25
USC00190998,"BUFFUMVILLE LAKE, MA US",12/6/1959,45,35
USC00190998,"BUFFUMVILLE LAKE, MA US",12/7/1959,45,41
USC00190998,"BUFFUMVILLE LAKE, MA US",12/8/1959,48,29
USC00190998,"BUFFUMVILLE LAKE, MA US",12/9/1959,40,22
USC00190998,"BUFFUMVILLE LAKE, MA US",12/10/1959,43,25
USC00190998,"BUFFUMVILLE LAKE, MA US",12/11/1959,42,21
USC00190998,"BUFFUMVILLE LAKE, MA US",12/12/1959,39,27
USC00190998,"BUFFUMVILLE LAKE, MA US",12/13/1959,58,37
USC00190998,"BUFFUMVILLE LAKE, MA US",12/14/1959,54,26
USC00190998,"BUFFUMVILLE LAKE, MA US",12/15/1959,38,17
USC00190998,"BUFFUMVILLE LAKE, MA US",12/16/1959,45,22
USC00190998,"BUFFUMVILLE LAKE, MA US",12/17/1959,50,32
USC00190998,"BUFFUMVILLE LAKE, MA US",12/18/1959,46,26
USC00190998,"BUFFUMVILLE LAKE, MA US",12/19/1959,37,26
USC00190998,"BUFFUMVILLE LAKE, MA US",12/20/1959,34,15
USC00190998,"BUFFUMVILLE LAKE, MA US",12/21/1959,28,10
USC00190998,"BUFFUMVILLE LAKE, MA US",12/22/1959,29,13
USC00190998,"BUFFUMVILLE LAKE, MA US",12/23/1959,25,6
USC00190998,"BUFFUMVILLE LAKE, MA US",12/24/1959,26,2
USC00190998,"BUFFUMVILLE LAKE, MA US",12/25/1959,37,8
USC00190998,"BUFFUMVILLE LAKE, MA US",12/26/1959,34,13
USC00190998,"BUFFUMVILLE LAKE, MA US",12/27/1959,39,27
USC00190998,"BUFFUMVILLE LAKE, MA US",12/28/1959,35,27
USC00190998,"BUFFUMVILLE LAKE, MA US",12/29/1959,33,25
USC00190998,"BUFFUMVILLE LAKE, MA US",12/30/1959,29,21
USC00190998,"BUFFUMVILLE LAKE, MA US",12/31/1959,33,13
USC00190998,"BUFFUMVILLE LAKE, MA US",1/1/1960,33,15
USC00190998,"BUFFUMVILLE LAKE, MA US",1/2/1960,33,-1
USC00190998,"BUFFUMVILLE LAKE, MA US",1/3/1960,52,
USC00190998,"BUFFUMVILLE LAKE, MA US",1/4/1960,53,32
USC00190998,"BUFFUMVILLE LAKE, MA US",1/5/1960,38,16
USC00190998,"BUFFUMVILLE LAKE, MA US",1/6/1960,33,17
USC00190998,"BUFFUMVILLE LAKE, MA US",1/7/1960,33,19
USC00190998,"BUFFUMVILLE LAKE, MA US",1/8/1960,36,19
USC00190998,"BUFFUMVILLE LAKE, MA US",1/9/1960,43,12
USC00190998,"BUFFUMVILLE LAKE, MA US",1/10/1960,18,7
USC00190998,"BUFFUMVILLE LAKE, MA US",1/11/1960,13,5
USC00190998,"BUFFUMVILLE LAKE, MA US",1/12/1960,24,-1
USC00190998,"BUFFUMVILLE LAKE, MA US",1/13/1960,35,15
USC00190998,"BUFFUMVILLE LAKE, MA US",1/14/1960,31,0
USC00190998,"BUFFUMVILLE LAKE, MA US",1/15/1960,44,9
USC00190998,"BUFFUMVILLE LAKE, MA US",1/16/1960,34,16
USC00190998,"BUFFUMVILLE LAKE, MA US",1/17/1960,29,16
USC00190998,"BUFFUMVILLE LAKE, MA US",1/18/1960,36,12
USC00190998,"BUFFUMVILLE LAKE, MA US",1/19/1960,33,15
USC00190998,"BUFFUMVILLE LAKE, MA US",1/20/1960,36,20
USC00190998,"BUFFUMVILLE LAKE, MA US",1/21/1960,31,21
USC00190998,"BUFFUMVILLE LAKE, MA US",1/22/1960,27,21
USC00190998,"BUFFUMVILLE LAKE, MA US",1/23/1960,34,24
USC00190998,"BUFFUMVILLE LAKE, MA US",1/24/1960,35,5
USC00190998,"BUFFUMVILLE LAKE, MA US",1/25/1960,39,5
USC00190998,"BUFFUMVILLE LAKE, MA US",1/26/1960,39,8
USC00190998,"BUFFUMVILLE LAKE, MA US",1/27/1960,38,10
USC00190998,"BUFFUMVILLE LAKE, MA US",1/28/1960,37,20
USC00190998,"BUFFUMVILLE LAKE, MA US",1/29/1960,34,26
USC00190998,"BUFFUMVILLE LAKE, MA US",1/30/1960,40,24
USC00190998,"BUFFUMVILLE LAKE, MA US",1/31/1960,44,11
USC00190998,"BUFFUMVILLE LAKE, MA US",2/1/1960,32,23
USC00190998,"BUFFUMVILLE LAKE, MA US",2/2/1960,37,23
USC00190998,"BUFFUMVILLE LAKE, MA US",2/3/1960,29,19
USC00190998,"BUFFUMVILLE LAKE, MA US",2/4/1960,39,23
USC00190998,"BUFFUMVILLE LAKE, MA US",2/5/1960,46,19
USC00190998,"BUFFUMVILLE LAKE, MA US",2/6/1960,49,24
